人数上限	课程名称
110	中国现当代文学史（下）
110	中国现当代文学史（下）
110	文学原理（下）
110	文学原理（下）
110	现代汉语（下）
110	现代汉语（下）
110	中国古代文学史（二）
110	中国古代文学史（二）
71	中外新闻传播史
89	中外新闻传播史
71	新闻写作
35	新闻写作
36	新闻写作
89	新闻写作
45	新闻写作
44	新闻写作
110	手绘艺术基础 
110	媒介文化透视
112	数字图像处理
112	Python语言
112	手绘艺术基础 
112	媒介文化透视
47	色彩构成
47	计算机辅助设计(二)-AI
47	设计色彩
47	办公软件
47	色彩构成
47	计算机辅助设计(二)-AI
47	设计色彩
44	摄影与摄像
44	设计色彩
44	摄影与摄像
44	设计色彩
84	剧本创作
84	设计心理学
40	Sketchup造型设计
40	办公软件
40	立体构成
40	设计导引
40	Sketchup造型设计
40	办公软件
40	立体构成
40	设计导引 
