sn	院系	专业	面向对象	人数下限	人数上限	课程名称	课程性质	学分	周学时	起止周	上课时间一	上课时间二	上课时间三	上课时间四	上课时间五	任课教师	备注
0	外国语言文学系	英语	16级英语	30	40	综合英语（二）	专业必修课	6	6	01-18	"3-5
4-403"	"8-10
4-405"				王雯	
1	外国语言文学系	英语	16级英语	30	40	综合英语（二）	专业必修课	6	6	01-18	"8-10
4-403"	"3-5
4-405"				许丹云	
2	外国语言文学系	英语	16级英语	30	40	综合英语（二）	专业必修课	6	6	01-18		"8-10
4-404"	"8-10
3-204"			许丹云	
3	外国语言文学系	英语	16级英语	30	40	综合英语（二）	专业必修课	6	6	01-18			"3-5
3-204"	"1-3
4-302"		胡琨	
4	外国语言文学系	英语	16级英语	30	40	综合英语（二）	专业必修课	6	6	01-18	"3-5
4-405"	"1-3
4-403"				罗琦	
5	外国语言文学系	英语	16级英语	30	40	综合英语（二）	专业必修课	6	6	01-18			"3-5
1-104"		"1-3
4-202"	范琳琳	
6	外国语言文学系	英语	16级英语	30	40	综合英语（二）	专业必修课	6	6	01-18			"8-10
1-104"	"8-10
4-305"		范琳琳	
7	外国语言文学系	英语	16级英语	30	40	综合英语（二）	专业必修课	6	6	01-18			"8-10
4-403"		"3-5
4-304"	吴夏莉	
8	外国语言文学系	英语	16级英语	30	40	英语口语（II）	专业任选课	4	4	01-18		"4-5
9-405"	"10-11
9-405"			kemo	
9	外国语言文学系	英语	16级英语	30	40	英语口语（II）	专业任选课	4	4	01-18		"8-9
9-405"	"8-9
9-405"			kemo	
10	外国语言文学系	英语	16级英语	30	40	英语口语（II）	专业任选课	4	4	01-18		"4-5
10-201"		"1-2
10-104"		亚瑟	
11	外国语言文学系	英语	16级英语	30	40	英语口语（II）	专业任选课	4	4	01-18		"1-2
9-204"	"10-11
10-105"			Craig	
12	外国语言文学系	英语	16级英语	30	40	英语口语（II）	专业任选课	4	4	01-18		"4-5
10-104"	"8-9
10-105"			Luca/Craig	
13	外国语言文学系	英语	16级英语	30	40	英语口语（II）	专业任选课	4	4	01-18		"1-2
10-201"		"8-9
10-104"		亚瑟	
14	外国语言文学系	英语	16级英语	30	40	英语口语（II）	专业任选课	4	4	01-18				"1-2
10-105"	"8-9
10-105"	王敏慧	
15	外国语言文学系	英语	16级英语	30	40	英语口语（II）	专业任选课	4	4	01-18		"1-2
10-104"			"1-2
9-205"	Luca	
16	外国语言文学系	英语	16级英语	30	40	英语听力（II）	专业任选课	2	2	01-18			"2-3
2-203"			秦勇	
17	外国语言文学系	英语	16级英语	30	40	英语听力（II）	专业任选课	2	2	01-18			"4-5
2-203"			秦勇	
